Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Anthony Davis,31:24,3,14,.214,0,1,.000,2,4,.500,1,6,7,5,1,0,0,3,8,4.4,-29,davisan02
D'Angelo Russell,29:59,5,13,.385,1,4,.250,1,1,1.000,0,1,1,4,0,0,2,0,12,6.0,-25,russeda01
LeBron James,29:03,12,18,.667,1,4,.250,4,4,1.000,1,4,5,8,1,0,5,2,29,23.9,-21,jamesle01
Rui Hachimura,26:28,6,7,.857,1,2,.500,1,1,1.000,0,3,3,1,0,1,1,0,14,12.8,-27,hachiru01
Dalton Knecht,22:45,1,4,.250,0,2,.000,0,0,,1,1,2,1,2,1,3,0,2,1.0,-20,knechda01
Max Christie,26:18,4,8,.500,1,1,1.000,2,2,1.000,5,2,7,5,1,0,0,0,11,15.6,-19,chrisma02
Gabe Vincent,24:18,3,11,.273,1,5,.200,2,2,1.000,1,1,2,3,3,0,1,1,9,7.2,-11,vincega01
Cam Reddish,14:58,0,3,.000,0,2,.000,0,0,,0,0,0,2,0,1,1,0,0,-1.0,-16,reddica01
Christian Koloko,13:20,2,3,.667,0,0,,0,0,,3,1,4,0,0,0,0,2,4,4.3,-12,kolokch01
Armel Traoré,12:43,1,5,.200,0,1,.000,2,5,.400,0,5,5,0,1,1,0,0,4,2.9,-17,armeltr01
Maxwell Lewis,8:44,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-8,lewisma05